  38533;"Die Auswanderer";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34935
";"Gawell, Oskar (1888-1955)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38534;"In der Küche";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34934
";"Hoberg, Reinhold (1859-1932)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38535;"Mädchenbildnis";"ubmz-14";"Herstellung";"(um 1925)";"1924";"1925";"0";"";"";"";"34950
";"Jäckel, Willy (1888-1944)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38536;"Litauische Dorfstraße";"ubmz-14";"Herstellung";"(um 1925)";"1924";"1925";"0";"";"";"";"34942
";"Steinhardt, Jakob (1887-1968)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38537;"Die Angler";"ubmz-14";"Herstellung";"(um 1925)";"1924";"1925";"0";"";"";"";"34948
";"Münch-Khe, Willi (1885-1961)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38538;"Der Vater des Künstlers";"ubmz-14";"Herstellung";"(um 1925)";"1924";"1925";"0";"";"";"";"34947
";"Halm, Peter (1854-1923)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38539;"Strandritt";"ubmz-14";"Herstellung";"(um 1925)";"1924";"1925";"0";"";"";"";"34946
";"Klemm, Walther (1883-1957)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38540;"Einlageblatt von: Die Sechste Jahresgabe des Kreises Graphischer Künstler und Sammler Nr. 12";"ubmz-14";"Herstellung";"1926";"1926";"1926";"0";"";"";"";"";"";"";"";"";"";""
  38541;"Blick von Posilipp";"ubmz-14";"Herstellung";"1925";"1925";"1925";"0";"";"";"";"33544
";"Meid, Hans (1883-1957)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38542;"Deutsche vor Tivoli";"ubmz-14";"Herstellung";"(um 1925)";"1920";"1925";"0";"";"";"";"34216
";"Großmann, Rudolf (1882-1941)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38543;"Südlicher Strand";"ubmz-14";"Herstellung";"(um 1925)";"1920";"1925";"0";"";"";"";"34217
";"Purrmann, Hans (1880-1966)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38544;"Bei Taormina";"ubmz-14";"Herstellung";"um 1925";"1920";"1925";"0";"";"";"";"34218
";"Obermeyer, Cornelie
";"4272
";"Herstellung (durch)
";"0
";"";""
  38545;"Landschaft bei Palermo";"ubmz-14";"Herstellung";"um 1925";"1920";"1925";"0";"";"";"";"34219
";"Röhricht, Wolf (1886-1953)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38546;"Muzzano";"ubmz-14";"Herstellung";"um 1925";"1920";"1925";"0";"";"";"";"34220
";"Hofer, Karl (1878-1955)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38547;"Paese lation";"ubmz-14";"Herstellung";"um 1925";"1920";"1925";"0";"";"";"";"34221
";"Kanoldt, Alexander (1881-1939)
";"4272
";"Herstellung (durch)
";"0
";"";""
